vendor,name,dlcode,mgmt_code,lower,upper
カラフルボックスコンソーシアム,AI Works_保守・サポート,DL07-0001726,AIWorks005,120000,600000
カラフルボックスコンソーシアム,貿易クラウド_利用料,DL06-0000792-001,貿易001,600000,3000000
カラフルボックスコンソーシアム,AI Works_利用料,DL06-0001191-001,AIWorks001,120000,360000
カラフルボックスコンソーシアム,カンリル_初期設定,DL07-0001738,カンリル002,50000,150000
カラフルボックスコンソーシアム,カンリル_保守サポート,DL07-0001733,カンリル004,60000,125000
カラフルボックスコンソーシアム,カンリル_利用料,DL06-0029228-001,カンリル001,32509,325091
カラフルボックスコンソーシアム,カンリル_導入・活用コンサルティング,DL07-0001708,カンリル003,20000,150000
カラフルボックスコンソーシアム,社長メシ_スタンダードプラン,DL06-0029652-001,社長メシ001,1500000,1500000
カラフルボックスコンソーシアム,Scale人事評価_スタンダードプラン,DL07-0002412,Scale001,1920,12000
カラフルボックスコンソーシアム,せきなび_スタンダード,DL06-0002760-001,seknavi01,300000,360000
カラフルボックスコンソーシアム,Scale人事評価スタンダードプラン_初期設定,DL07-0020657,Scale002,80000,160000
カラフルボックスコンソーシアム,Scale人事評価スタンダードプラン_保守サポート,DL07-0020660,Scale004,120000,480000
カラフルボックスコンソーシアム,配車頭_利用料,DL07-0032513,配車頭01,20000,240000
カラフルボックスコンソーシアム,BENRINEKO_営業管理システム,DL07-0032695,BENRINEKO_01,500000,1500000
カラフルボックスコンソーシアム,AI Works_初期設定,DL07-0003894,AIWorks003,10000,200000
カラフルボックスコンソーシアム,Arole_利用料,DL07-0034331,ar001,1500000,2640000
カラフルボックスコンソーシアム,AI Works_導入活用コンサルティング,DL07-0003887,AIWorks002,100000,450000
カラフルボックスコンソーシアム,Scale人事評価_導入・活用コンサルティング,DL07-0020659,Scale003,300000,900000
カラフルボックスコンソーシアム,freee会計_スタータープラン,DL07-0007357,freee会計001,65760,65760
カラフルボックスコンソーシアム,PCセキュリティみまもりパック,DL07-0002804,pcsecurity,,
クラフトバンク,クラフトバンクオフィス プロフェッショナルプラン,DL04-0029552-004,クラフトバンクオフィス プロフェッショナルプラン,1080000,2160000
クラフトバンク,クラフトバンクオフィス エンタープライズプラン,DL04-0029554-004,クラフトバンクオフィス エンタープライズプラン,1350000,2700000
クラフトバンク,導入コンサルティング活用コンサルティング（クラフトバンクオフィス スタンダードプラン）,DL07-0000180,導入コンサルティング活用コンサルティング（クラフトバンクオフィス スタンダードプラン）,600000,1205000
クラフトバンク,導入コンサルティング（クラフトバンクオフィス プロフェッショナルプラン）,DL07-0000059,導入コンサルティング（クラフトバンクオフィス プロフェッショナルプラン）,800000,1600000
クラフトバンク,クラフトバンクオフィス スタンダードプラン,DL04-0029553-003,クラフトバンクオフィス スタンダードプラン,600000,1200000
クラフトバンク,導入コンサルティング（クラフトバンクオフィス スタンダードプラン）,DL07-0000025,導入コンサルティング（クラフトバンクオフィス スタンダードプラン）,400000,800000
